pid,name,multiplier
0,SYRUP-WBNB,358
251,CAKE-WBNB,40
252,BUSD-WBNB,11
448,rUSD-BUSD,1
464,LAZIO-WBNB,1
432,SPS-WBNB,0
459,CART-WBNB,1
465,ARV-WBNB,1
460,LIGHT-WBNB,1
463,MCB-WBNB,0
462,RPG-BUSD,0
461,BETA-WBNB,1
446,BMON-BUSD,0
437,BMON-WBNB,0
458,PROS-WBNB,0
457,NFT-WBNB,0
429,CHESS-USDC,0
447,GNT-WBNB,0
425,DVI-WBNB,0
439,MCRN-WBNB,0
456,TLOS-WBNB,0
455,HERO-WBNB,0
449,BP-WBNB,0
454,BSCDEFI-WBNB,0
453,QBT-WBNB,1
452,NAOS-WBNB,0
451,PHA-BUSD,0
314,BEL-WBNB,0
450,SFUND-WBNB,0
317,RAMP-BUSD,0
445,POTS-BUSD,0
397,TUSD-BUSD,1
443,BTT-BUSD,0
442,TRX-BUSD,0
441,WIN-BUSD,0
436,BABYCAKE-WBNB,0
440,HERO-WBNB,0
438,WSG-WBNB,0
435,REVV-WBNB,0
367,BTT-WBNB,0
434,SKILL-WBNB,0
369,WIN-WBNB,0
433,IF-BUSD,0
431,c98-WBNB,0
430,AXS-WBNB,0
379,PMON-BUSD,0
368,TRX-WBNB,0
428,TITAN-BUSD,0
427,ONE-WBNB,0
426,MASK-WBNB,0
339,GUM-WBNB,0
424,ADX-BUSD,0
423,USDC-USDT,1
422,CAKE-USDT,2
357,SUTER-WBNB,0
421,BSCPAD-WBNB,0
420,RABBIT-WBNB,0
419,WAULTx-WBNB,0
418,WEX-WBNB,0
417,FORM-BUSD,0
416,ORBS-BUSD,0
415,$DG-WBNB,0
414,WOO-WBNB,0
413,HTB-WBNB,0
351,JGN-WBNB,0
337,DFT-WBNB,0
412,HAI-WBNB,0
411,O3-BUSD,0
410,AMPL-BUSD,0
343,ODDZ-WBNB,0
409,ETH-USDC,1
408,BTCB-ETH,1
347,BONDLY-WBNB,0
407,MARSH-WBNB,0
406,BORING-WBNB,0
405,MBOX-WBNB,1
404,ATA-WBNB,0
403,MX-BUSD,0
402,bCFX-BUSD,0
401,QKC-BUSD,0
400,KTN-WBNB,0
399,MTRG-BUSD,0
398,SWG-WBNB,0
396,VRT-WBNB,0
395,EZ-WBNB,0
394,KALM-WBNB,0
393,pOPEN-WBNB,0
335,LIEN-WBNB,0
392,WELL-BUSD,0
391,DERI-BUSD,0
390,CHR-BUSD,0
389,CAKE-BUSD,2
388,CYC-WBNB,0
387,XEND-WBNB,0
296,HGET-WBNB,0
386,HOTCROSS-WBNB,0
385,RFOX-WBNB,0
384,WMASS-BUSD,0
383,UBXT-BUSD,0
381,BTR-BUSD,0
380,τDOGE-WBNB,0
378,ONE-BUSD,0
377,FINE-WBNB,0
376,DOGE-WBNB,0
310,bMXX-WBNB,0
375,OIN-BUSD,0
374,HYFI-WBNB,0
373,KUN-BUSD,0
372,KUN-QSD,0
371,MATH-BUSD,0
370,MCOIN-UST,0
366,PNT-pBTC,0
311,xMARK-BUSD,0
365,BTCB-BUSD,2
364,LMT-WBNB,0
363,DFD-BUSD,0
362,ALPACA-BUSD,1
361,τBTC-BTCB,0
304,SWINGBY-WBNB,0
360,XED-WBNB,0
359,HAKKA-BUSD,0
358,CGG-WBNB,0
356,bROOBEE-WBNB,0
355,HZN-WBNB,0
354,ALPA-WBNB,0
353,PERL-WBNB,0
352,TLM-WBNB,0
350,EPS-WBNB,0
349,ARPA-WBNB,0
348,ITAM-WBNB,0
346,TKO-WBNB,0
345,APYS-WBNB,0
344,HOO-BUSD,0
342,EASY-WBNB,0
341,NRV-WBNB,0
340,DEGO-WBNB,0
338,pBTC-WBNB,0
336,SWTH-WBNB,0
334,ZIL-WBNB,0
333,pCWS-WBNB,0
332,bBadger-BTCB,0
331,bDIGG-BTCB,0
330,LTO-WBNB,0
329,MIR-UST,0
328,TRADE-WBNB,0
327,DUSK-WBNB,0
326,BIFI-WBNB,0
325,TXL-BUSD,0
324,COS-WBNB,0
323,BUNNY-WBNB,0
322,ALICE-WBNB,0
321,FOR-BUSD,0
320,BUX-WBNB,0
319,NULS-BUSD,0
318,BELT-WBNB,0
316,BFI-WBNB,0
315,DEXE-BUSD,0
313,TPT-BUSD,0
312,WATCH-WBNB,0
309,IOTX-BUSD,0
308,BOR-WBNB,0
